3:42 PM - 11 Dec 2015|On Comet Cupid On Donner Mittens pic twitter com f2FzHXiwop|1.9K|8.5K
5:02 PM - 11 Dec 2015|S O came @TheDanocracy's meet-up today Not obsessed Dan yet Meet http MUCH com Dan pic twitter com xGZglXCqGX|7|25
6:45 PM - 11 Dec 2015|In Heart Sea could used lot whale @peterhowellfilm http thestar com 1Y9xgA3 pic twitter com b3ag1QWYLU|3|5
6:52 PM - 11 Dec 2015|feel like i'm immature age|2|3
