3:30 PM - 12 Dec 2015|How activist improving life Canada indigenous people http ti 1SSedZM pic twitter com ZAVCb4LRgi|68|79
2:34 PM - 12 Dec 2015|WATCH LIVE President Obama speaks climate change deal http cbsn ws 1I0OAFB pic twitter com Zmz4hB57xz|38|42
7:24 AM - 12 Dec 2015|Saudi women voting standing elections first time ever http bbc 1QaG8GF pic twitter com 71i3OCVgP4|1.5K|1.6K
3:55 PM - 11 Dec 2015|In Canada prime minister personally greets Syrian refugees arriving country http bbc 1NTvj52 pic twitter com R3DXqsIAUp|795|961
