9:51 PM - 10 Dec 2015|I always say I'm done I never|318|477
7:43 PM - 8 Dec 2015|Does really get better Or get used|2K|1.5K
1:00 AM - 11 Dec 2015|I can't really say wasted time kinda helped realize ever lol|286|480
12:32 PM - 9 Dec 2015|The worst feeling pretending don't care something really it's seem think|108|102
3:36 AM - 10 Dec 2015|Command post set look missing Markham boy 11 http www cp24 com news command-post-set-up-to-look-for-missing-markham-boy-11-1 2694483 pic twitter com PO59POPBRX|159|30
