6:54 AM - 12 Dec 2015|Varanasi looks stunning PM @AbeShinzo I joined Aarti today pic twitter com yptZQetlvZ|4.1K|6.9K
12:38 AM - 12 Dec 2015|I trolled like hell Pak Don't think India intolerant else would take Indian citizenship Adnan Sami pic twitter com n151DRWBVD|898|598
10:39 AM - 11 Dec 2015|Arun Jaitley Congress' mindset Queen Law http www rightrelevance com search articles hero article 6ab4cdc846bc06c3a9abc64a2da8b746da62a25b query indian 20politics taccount indiapoliticsrr pic twitter com PCsmgu4wxh|1|0
