2:50 PM - 12 Dec 2015|Relationships 2 people trust fights agreements disagreements honesty care never giving|4|3
2:03 PM - 12 Dec 2015|Retweet gain follow everyone retweets follow back ever follows|1.3K|355
4:20 AM - 12 Dec 2015|Farewell 1989 World Tour pic twitter com YraKYoIMkK|26K|67K
10:54 AM - 12 Dec 2015|Toronto councillor Norm Kelly wins Canada Most Valuable Tweeter http thestar com 1UhXEqY #topstories|22|27
1:27 PM - 12 Dec 2015|ICYMI http bit ly 1OYlkAE @WeaverPoje repeat ice dance champions #GPFBarcelona #TeamCanada pic twitter com LGyDXqZJCq|25|86
2:55 PM - 12 Dec 2015|Quebec prepares welcome Syrian refugees http thestar com 1QbP5zD #topstories|5|1
