9:41 AM - 10 Dec 2015|#HereWeGo 16 days #WorldJuniors #TBT #WJC2015 Oh memories pic twitter com 87nHxUx5Mn|140|191
9:39 PM - 8 Dec 2015|Happy hear Reims Lupes NOT happy hear Sparks sent I WANTED OPTIMUS THE ALLSPARK https twitter com dalter status 674436074140119040|1|2
8:19 PM - 8 Dec 2015|It's hammer time pic twitter com 75tvgfYFYi|1K|2.2K
7:16 PM - 8 Dec 2015|Best first four starts rookie Leafs goaltender all-time 1 James Reimer 0 944 2 Felix Potvin 0 931 3 Garret Sparks 0 921|25|30
8:02 PM - 8 Dec 2015|Garret Sparks doesn't giveth taketh away #TMLtalk pic twitter com ZoTGECLrCw|329|568
7:24 PM - 8 Dec 2015|The Right Guard Canada Final Score #Leafs defeat Devils 3-2 shootout #TMLtalk #ForTheWin pic twitter com N2WWQMYXh7|202|363
