10:20 PM - 8 Dec 2015|@YaTu_Chavez @tldtoday linked video description|148|640
2:18 PM - 9 Dec 2015|Glass pic twitter com C7i07VCQ2t|660|3.8K
2:39 PM - 9 Dec 2015|@JeffBenjam depends objective really sometimes shoot 4 GH4s|144|637
8:03 PM - 9 Dec 2015|I wish email lists would die|610|3.1K
1:56 PM - 10 Dec 2015|Might time new wiper blades @BoschGlobal roadkill ain happy - http bit ly 1R41023 #PSA @HumaneSociety|467|2K
2:47 PM - 10 Dec 2015|Gonna next iPhone Giveaway Instagram insta people feeling left Follow well - http instagram com unboxtherapy|2.3K|6.1K
2:52 PM - 10 Dec 2015|Don't worry gonna continue giveaways well Plenty iPhones left pic twitter com QgjmiSnqUv|10K|21K
9:01 AM - 11 Dec 2015|When let Jack iPad Pro minute pic twitter com Ge3F9wDqAd|1K|5K
