8:32 PM - 10 Dec 2015|@daveaphotodude @FoxNews Why You scared ISIS little boy It's ok come site lap|5|6
5:35 PM - 12 Dec 2015|Ban Trump TV says former CNN host http huff 1lELc9F pic twitter com 1Nb7VRM8GP|141|350
8:36 AM - 12 Dec 2015|Donald Trump disgrace country says billionaire Saudi prince http trib al 4AFeovN|185|180
6:16 AM - 11 Dec 2015|Wow Canadians Are Tweeting The Most Beautiful Messages To Refugees With #WelcomeToCanada http bzfd 1NZNGM0 pic twitter com lbfm3bogzf|941|1.2K
9:40 AM - 11 Dec 2015|Anonymous launched #OpTrump teach Donald lesson http bit ly 1SSq7CQ|413|371
6:25 AM - 9 Dec 2015|So hopeful New Alzheimer treatment fully restores memory function http www sciencealert com new-alzheimer-s-treatment-fully-restores-memory-function #via @ScienceAlert|2|4
6:01 AM - 11 Dec 2015|Welcome Canada pic twitter com xEOn44GjJF|31K|40K
