8:30 AM - 11 Dec 2015|I need bathroom like pic twitter com 5AEUOMKDLK|2.4K|4.5K
10:30 AM - 12 Dec 2015|insert card shown pic twitter com zFVDAucVdH|347|424
10:58 AM - 12 Dec 2015|I don't dirty mind I sexy imagination|569|1K
11:08 AM - 12 Dec 2015|Me every morning pic twitter com f8AaZ36l7c|853|1.1K
7:00 AM - 12 Dec 2015|I don't really talk talk walk walk need someone drink drink I'm|593|1.2K
