12:47 AM - 5 Dec 2015|Women think kids interfere career need look Tashfeen didnt let 6 month old come way good terrorist|525|229
12:55 PM - 4 Dec 2015|Delhi's new law curb air pollution #DelhiOddEvenLogic pic twitter com DOUu1idh7u|31|20
9:22 PM - 4 Dec 2015|We wont improve quality public transport bt we'l force u 2b @ mercy rogue autowalas r strongest voter base #DelhiOddEvenLogic|6|6
1:53 AM - 23 Nov 2015|Rushdie way ahead curve His Padma returned|324|205
10:59 AM - 20 Nov 2015|Bathroom graffiti you're student graffiti school science pic twitter com NTbpxGxnic|1.5K|2.7K
