6:16 PM - 10 Dec 2015|Pranab Da always respected leader friends well-wishers across political spectrum @RashtrapatiBhvn|1.4K|3.6K
7:06 PM - 9 Dec 2015|I going dear @LaraDutta @iptl Delhi https twitter com laradutta status 674782383095152640|61|304
9:22 PM - 9 Dec 2015|Bajirao Mastani satellite rights sold Rs 50 crore @priyankachopra #BajiraoMastani http www bollywoodhungama com news view id 16919851|40|44
4:03 AM - 9 Dec 2015|Ragers http ift tt 1U2G1LV pic twitter com Jk39teZTFz|118|878
6:36 AM - 9 Dec 2015|@juniorbachchan @bomanirani I think going eat days-can't move #overstuffed #YumFood thank u Zenobia ji|35|162
10:45 AM - 9 Dec 2015|World needs 2hear dgood louder dan d bad Talk abt ur charities d people u help blow dat trumpet loud others learn 2 follow esp kids|1K|2.9K
1:59 PM - 9 Dec 2015|Wow Look people list Thank u @people including top 25 Yay http twitter com PriyankaDaily status 674608965959983106|234|740
7:18 AM - 9 Dec 2015|@priyankachopra @people's list 2015 intriguing People #Quantico http abcnews go com GMA video people-magazine-reveals-best-2015-issue-35666398 pic twitter com g3NrgCMbCT|188|508
