2:37 PM - 12 Dec 2015|I AM BLESSED https vine co v iZtnxTAmj07|3.9K|7.6K
5:30 PM - 3 Dec 2015|bought christmas tree costume christmas present shoes don't care it's december i'm bad bitch|3K|8.6K
2:32 PM - 4 Dec 2015|mood board pic twitter com Nz18a59zi3|486|862
4:52 PM - 8 Dec 2015|IT'S HAPPENING Y'ALL I'M TOURING AGAIN tell want go https stagelink com twaimz pic twitter com q8MikPKEy1|3.5K|9.1K
5:43 PM - 8 Dec 2015|I LOVE WHEN EVERYTHING IS ABOUT LOUIS|371|676
