6:04 AM - 12 Dec 2015|Reaction Rajdeep Sardesai Ravish Kumar visuals #ModiAbeInKashi pic twitter com ni7uOrjKMI|75|64
6:48 AM - 12 Dec 2015|#ModiAbeInKashi West can't understand feelings emotions towards ancient culture pic twitter com PfDM4zTZHS|18|22
7:20 AM - 12 Dec 2015|@AbeShinzo Excellent dress Very nice see u take deep intrest indian culture @PMOIndia #ModiAbeInKashi pic twitter com YLNXwLc9QI|57|57
7:21 AM - 12 Dec 2015|RT Share Mouthshut moment Sickulars Congis #ModiAbeInKashi pic twitter com axLMXZvsXd|6|8
7:24 AM - 12 Dec 2015|In last 68Y first time TRUE meaning 'Atithi Devo Bhava' presented world @narendramodi #ModiAbeInKashi pic twitter com 9fdelEBxpP|221|159
7:30 AM - 12 Dec 2015|We suffered lot past Sickulars cherished poverty charm foreigners Here comes d leader #ModiAbeInKashi pic twitter com BpnqoysX4P|168|103
6:50 AM - 12 Dec 2015|We've launched Late Gopinath Munde Farmers' Accident Insurance Scheme gives insurance cover 2 Lakh 1 37 crore farmers|96|127
6:54 AM - 12 Dec 2015|Varanasi looks stunning PM @AbeShinzo I joined Aarti today pic twitter com yptZQetlvZ|3.6K|6.1K
4:15 AM - 12 Dec 2015|HRD ministry signs MoU establishing 3 Indian Institute Information Technology IIIT Ranchi Nagpur Pune http pib nic newsite erelease aspx relid 133118|117|193
4:44 AM - 12 Dec 2015|When I got stuck dialogue he'd purposely mess n retake 2 protect confidence #HBDSuperstarRajinikanth pic twitter com Gjf7dyxXea|3K|7.1K
