10:52 AM - 8 Dec 2015|Donald Trump huge asshole ahead polls millions millions Americans also huge assholes|14K|18K
9:02 PM - 9 Dec 2015|Brb Rewatching 7 seasons Parks Recreation relive amazing Andy Dwyer moments pic twitter com p4pCMiUPKp|3|5
3:06 AM - 9 Dec 2015|I like government takes Advance Tax But never gives Advance Flyover|36|38
