11:10 AM - 4 Dec 2015|Cereal pic twitter com oQ21ikvqgl|1.4K|2.4K
1:10 PM - 9 Dec 2015|Shaq puns pic twitter com U6HL9GuurJ|747|1.4K
11:03 AM - 9 Dec 2015|Ok This funniest shit ever The dog waited pic twitter com 7dCJiZ98Se|199|186
