7:43 AM - 26 Nov 2015|Retweet vote @FCBarcelona's Lionel Messi http UEFA com #TOTY 2015 pic twitter com l8f5ZJgCPj|15K|4K
2:29 PM - 24 Nov 2015|If smoking joint handling biz prolly wondering what's good Cabin Fever 3|5.4K|13K
12:00 PM - 18 Nov 2015|When feel urge drink smoke go run 20 sit ups etc You'll start associate quitting habit fit|139|219
3:00 PM - 26 Nov 2015|There two ways rich one everything ever wanted one satisfied|241|291
9:42 PM - 26 Nov 2015|You confined walls build #AskKirubi pic twitter com 4U2Gd1X4Zt|38|32
9:30 AM - 17 Nov 2015|Drinking green tea bed allow body burn calories sleeping Green tea also increases metabolism|262|368
4:00 PM - 19 Nov 2015|THIS IS WHY IM WORKING HARD IN MATH NOW pic twitter com jEnMv85mhe|38|33
3:33 AM - 21 Nov 2015|If human eye digital camera would 576 megapixels|245|284
3:36 AM - 23 Nov 2015|I really wanna get high|275|338
11:34 PM - 25 Nov 2015|I 2 moods 1 I'm high shit 2 I'm high enough shit|371|369
10:23 PM - 25 Nov 2015|I need hug e blunt|370|339
11:03 PM - 25 Nov 2015|Marijuana A lot cheaper therapist|247|360
12:20 PM - 26 Nov 2015|I don't drugs I smoke weed|106|164
6:25 AM - 26 Nov 2015|HAPPY DANKSGIVING pic twitter com y4VAtnhWax|906|1.3K
6:25 AM - 26 Nov 2015|Retweet vote @FCBayern's Robert Lewandowski http UEFA com #TOTY 2015 pic twitter com XNbXQFRPNn|3.9K|1.1K
6:13 AM - 26 Nov 2015|After 20 years digging world longest train tunnel open 2016 http econ st 21gMnw4 pic twitter com IUDttf2FMO|158|146
8:05 PM - 25 Nov 2015|Should You Spit Or Swallow After A Blowjob http wow-galleries com 4713422-15576129|40|33
8:00 PM - 25 Nov 2015|Fire @50cent dropped new track Too Rich Check http www thisis50 com profiles blogs new-banger-50-cent-too-rich pic twitter com cPJAssjqHj|257|338
4:45 PM - 25 Nov 2015|Man Accidentally Texts Police For Weed http ow ly TgWIl|18|29
1:09 PM - 21 Nov 2015|Kanye type nigga invite house ask you're|1.4K|1.6K
7:50 PM - 25 Nov 2015|If we're hanging we're getting high|122|203
6:58 PM - 25 Nov 2015|TK N Cash Say Lil Wayne Told Them He Remixed Mind Right On No Ceilings 2 Video http www lilwaynehq com 2015 11 tk-n-cash-say-lil-wayne-told-them-he-remixed-mind-right-on-no-ceilings-2-video Via @LilWayneHQ #NC2|13|9
8:11 PM - 23 Nov 2015|Mutunga Corruption courts established across country http dlvr CqMtvj pic twitter com bEMbyrsuIc|4|1
8:08 PM - 23 Nov 2015|I need blunt|155|183
7:26 PM - 23 Nov 2015|I smoke hard I live long|9|13
7:25 PM - 23 Nov 2015|Trump repeats 9 11 cheering claims tells @KatyTurNBC 'world's greatest memory' http nbcnews 1R2mqfg pic twitter com 63cTocIFrX|43|42
7:58 AM - 23 Nov 2015|Good see @aaronramsey back training Ready week ahead pic twitter com OcXGHT6XuG|886|1.4K
7:09 PM - 23 Nov 2015|Some people want happen wish would happen others make happen #GoodMorningKenya @Kiss100Kenya @KalekyeMumo #KISS #TMK|6|0
5:38 PM - 16 Nov 2015|Never ashamed smoke weed fuck people think|101|165
1:38 PM - 18 Nov 2015|If I bird I know I'd shit|447|350
1:35 PM - 18 Nov 2015|Snake venom may help save lives operating theatre http econ st 1NbVsSz pic twitter com cvqjtNPf4Z|77|78
4:26 PM - 17 Nov 2015|For Princess pic twitter com reipntePbu|667|1.3K
