8:18 AM - 6 Dec 2015|When someone starts speaking language don't understand want polite pic twitter com 1qP4BaDKhF|702|1.2K
10:46 AM - 12 Dec 2015|You know biggest threat planet Grownups think light bulbs pickup trucks biggest threat planet|136|140
6:40 AM - 12 Dec 2015|Fashion Santa '30 years model prior social media something else' http ow ly VNMUC pic twitter com TS80Jq8zVX|20|17
