8:34 PM - 10 Dec 2015|# _ _ SRK Release ur movie u find Tolerance # _ _ pic twitter com DHrjyyeYR3|119|69
11:27 AM - 7 Dec 2015|Every time I think things going well https vine co v enhjKXxjPrT|1.4K|1.2K
8:58 PM - 24 Nov 2015|Ultimately want proud see country progress Our goal For children grow great new India|590|1.2K
2:41 AM - 24 Nov 2015|#AamirKhan talking nonsense says Asaduddin Owaisi http indiatoday intoday story aamir-khan-is-talking-nonsense-says-asaduddin-owaisi 1 530339 html pic twitter com iwaglYbAKh|376|368
8:00 AM - 19 Nov 2015|How 25yr old 12th pass make millions BMW super bikes social worker Tejaswi Yadav @loosebool pic twitter com rkOwhawdfx|15|11
7:59 AM - 19 Nov 2015|Tejaswi Yadav 25 yr old son Lallu He already millions bank BMW super bike No one cares got Well done Biharis|11|12
7:47 PM - 17 Nov 2015|You're fucking stupid|5.1K|7.6K
1:05 AM - 22 Nov 2015|While casting vote local body polls Ahmedabad also urge voters come vote large number pic twitter com qRGrt1cBUA|506|867
