9:01 AM - 10 Dec 2015|I remember best friend shy quiet I created monster|3.1K|4K
8:58 AM - 10 Dec 2015|Don't go life grow life - Eric Butterworth|222|278
2:15 AM - 4 Dec 2015|Over time realize people aren't worth anymore|593|490
7:20 PM - 4 Dec 2015|The strongest hearts ones broken|1.4K|1.2K
12:20 AM - 2 Dec 2015|Sometimes expect others would willing|950|830
2:20 AM - 1 Dec 2015|The people care life taken soon|644|647
3:20 AM - 1 Dec 2015|Sometimes don't know much care someone stop caring|745|803
9:20 AM - 29 Nov 2015|Things change sun always rises next day The bad news nothing permanent The good news nothing permanent|675|775
9:32 AM - 27 Nov 2015|To honest I'm winging My life eyeliner everything|252|406
11:10 AM - 27 Nov 2015|I'm getting shit together lifestyle I planned pretty damn expensive|443|717
11:29 AM - 27 Nov 2015|I like long romantic walks makeup aisle|251|377
11:20 PM - 28 Nov 2015|In end you'll see who's fake who's true risk|1.2K|1.1K
1:20 AM - 29 Nov 2015|Don't rush fall love even fairy tales happy ending takes place last page|894|969
10:49 AM - 20 Nov 2015|Need pair ripped jeans pic twitter com w8OPXY1zHt|283|946
2:44 PM - 28 Nov 2015|Cozy sweaters pic twitter com X5uYuaR0QX|185|573
1:28 PM - 25 Nov 2015|Stunning hand painted coral cocktail dress Holt Miami Hire 59 #mycelebdress http www mycelebritydress com holt-hand-painted-coral-lia-dress html pic twitter com VmC8JOitD6|1|3
1:36 PM - 25 Nov 2015|Stunning La Femme white lace dress Hire 79 http www mycelebritydress com dresses la-femme-white-nude-lace-dress html pic twitter com X9FqCqzBDP|2|5
2:20 AM - 29 Nov 2015|Never waste opportunity tell someone love never know tomorrow could late|867|977
1:02 AM - 29 Nov 2015|Life isn't measured breathes take moments take breath away|453|496
12:50 AM - 29 Nov 2015|Dear whoever reading you're beautiful someone crazy|287|307
12:46 AM - 29 Nov 2015|Beautiful things happen distance negativity|502|524
12:20 AM - 29 Nov 2015|Sometimes realize people stay heart life|1.2K|997
12:19 AM - 29 Nov 2015|Kabira - Arijit Singh - Unplugged @shan0khan - http www dailymotion com video x2364n6_kabira-arijit-singh-unplugged_music @ukashaa2|1|2
