5:32 AM - 5 Dec 2015|Why people still want give receive wedding cards Send soft copy Save trees The wood use suhaagraat|56|123
8:22 AM - 25 Nov 2015|Mock funerals FIRs sedition death threats family The opposition Aamir far disagreeable anything said|155|129
7:43 AM - 22 Nov 2015|The best revenge move get continue succeed Never give someone satisfaction watching suffer|518|828
6:17 AM - 24 Nov 2015|Anne Frank family also denied entry refugees U S http wapo st 1MzUyMg pic twitter com CXzBaGRZRz|2.5K|1.8K
11:14 PM - 18 Nov 2015|#SanskariJamesBond Indians ridicule film cuts kissing scenes Spectre http bbc 1ORNgaj pic twitter com cDDabOxrdO|287|270
4:21 AM - 16 Nov 2015|Anonymous promises launch biggest operation ISIS http buff ly 1LhHV4o pic twitter com mmov00MhFH|24|17
8:03 PM - 16 Nov 2015|Anonymous hackers declare war Islamic State Paris attacks http buff ly 1MOr8eG pic twitter com nuNEt8aj3A|21|20
10:32 PM - 14 Nov 2015|Coverage #ParisAttacks No bodies No blood No irresponsible comments opposition Country United tragedy #Lessonstolearn|3.8K|3.5K
