8:02 AM - 9 Dec 2015|Infinite The number opened applications background check moms phone week|62|113
4:42 AM - 9 Dec 2015|January 2015 year December 2015 maybe|8.8K|9K
3:30 PM - 7 Dec 2015|Finally trashed @realDonaldTrump Will still reserve seat Blue Origin rocket #sendDonaldtospace http bit ly 1OpyW5N|8.4K|8.2K
