2:25 AM - 6 Dec 2015|It's pretty ridiculous sometimes negative bias shown towards pop artists people real credentials commenting|2.1K|4.9K
7:34 PM - 5 Dec 2015|Ok guys Have rush event Sorry leave #pzchat halfway I promise make later Love|81|290
7:34 PM - 5 Dec 2015|@ankushchhabra08 I kept dustbins Mumbai 2005 got stolen|14|31
9:45 PM - 5 Dec 2015|@justinbieber's comeback @Adele's 25 fav 2015 music moments http ahwd tv dCG0Jj pic twitter com 0IsK1iBIyM|765|755
