1:38 PM - 7 Dec 2015|@realdonaldtrump removes doubt running President fascist demagogue|3.9K|3.6K
3:14 PM - 7 Dec 2015|This reprehensible prejudiced divisive @RealDonaldTrump don't get This makes us less safe -H https twitter com nprpolitics status 673998436811714560|5.5K|6.8K
3:07 AM - 5 Dec 2015|It's feeling much better need careful Thanks support|1.7K|3.3K
3:06 AM - 5 Dec 2015|I think injury blown proportion I won't pain rest career I need manage time|2.6K|3.7K
12:17 AM - 23 Nov 2015|Our love Star Wars started long time ago galaxy far far away https goo gl EYh1RQ https amp twimg com v d0acf443-0f32-416d-94e5-04d5cd30a262|2.2K|2.8K
10:23 AM - 19 Nov 2015|Hey @realDonaldTrump I'm American Muslim I already carry special ID badge Where's #SemperFi #USMC pic twitter com QSf2O9PTi2|39K|51K
8:49 AM - 18 Nov 2015|Slamming door face refugees would betray deepest values That's And it's we're going|49K|66K
