8:24 AM - 10 Dec 2015|Ok Pls pay 25K cash office @aaliyaxx_ @kamaalrkhan plz unblock @being_banjara|10|38
7:07 AM - 10 Dec 2015|Bihar CM @NitishKumar meets PM @narendramodi first time Bihar election win http timesofindia indiatimes com india Bihar-CM-Nitish-Kumar-meets-PM-Narendra-Modi-for-the-first-time-after-Bihar-election-win articleshow 50125179 cms pic twitter com gpRlP9GDrv|32|117
3:15 AM - 10 Dec 2015|So happy @BeingSalmanKhan acquitted charges Truth Prevails Even takes 13 long years|1.5K|2.3K
1:35 PM - 9 Dec 2015|With American leadership 180 nations committed tackling climate change #UnitedOnClimate pic twitter com iq1SyJhVsX|833|2.3K
10:47 AM - 8 Dec 2015|@kamaalrkhan I think jealous success @RanveerOfficial|1|0
