9:57 AM - 1 Dec 2015|Phoenix Mall Velachery also open victims Can go stay ID proof #chennairains #chennairainshelp|89|11
9:00 AM - 27 Nov 2015|Tamaasha Take weird irrational 5 mins frm 'Rockstar' stretch 2 hours 10 mins Shittiest mov seen long time|229|143
11:48 PM - 24 Nov 2015|100 people died four lakhs displaced due heavy rains Tamil Nadu Aamir Khan's lame remark entertaining|148|62
1:31 PM - 18 Nov 2015|Tomorrow 11 19 Ethiopian Airlines make history first ever female-only operated flight pic twitter com E5I91krhZG|5.7K|6.8K
9:31 AM - 16 Nov 2015|Pitiless pic twitter com flIZ9bVAZ9|467|198
9:59 AM - 14 Nov 2015|Media coverage Paris attack- dead body blood opposition sarcasm microphones shoved Our TV channels please learn|661|318
10:17 AM - 14 Nov 2015|Notice #ParisAttacks coverage No dead body blood No opposition party briefing No media put words mouth victims God save India|328|182
