6:14 PM - 10 Dec 2015|I convey heartfelt wishes beloved President Shri Pranab Mukherjee birthday I pray long healthy life|1.7K|4K
11:44 PM - 8 Dec 2015|#shameful In #DelhiMetro male passengers sitting seats 'reserved ladies' #Delhi http www abplive india-news shameful-in-delhi-metro-male-passengers-sitting-on-seats-reserved-for-ladies-257871 pic twitter com cmQPUdPbI2|32|48
9:14 PM - 6 Dec 2015|Armed Forces Flag Day day remember valour armed forces donate generously welfare armed forces personnel|2.2K|4.7K
3:45 AM - 2 Dec 2015|1 500 stranded passengers evacuated Chennai airport http thne ws 21uJ8B7 pic twitter com YfxNJQ8H6H|86|37
12:44 AM - 2 Dec 2015|#ChennaiRainsHelp 197 people dead since October 1 due heavy rains Tamil Nadu pic twitter com phwoYo4onP|29|17
4:40 AM - 1 Dec 2015|German automaker #Volkswagen recall 3 23 lakh vehicles India http indiatoday intoday breakingnews html|4|6
8:26 PM - 24 Nov 2015|Care little might lose Care much might get hurt|160|446
8:24 PM - 24 Nov 2015|Guru Nanak attacked caste said could middlemen god One greatest reformers consummate traveller #GuruNanakJayanti|166|159
9:52 PM - 22 Nov 2015|Diversity democracy connect India Malaysia We want expand cooperation economy trade security http nm-4 com x88|782|1.9K
8:24 PM - 17 Nov 2015|Noodles Launched Ramdev approval FSSAI @abantika77 @amitabhsin discuss @IndianExpress http youtu pUCNfaexgK0|29|15
11:19 PM - 15 Nov 2015|Sikh man wrongly labelled terrorist photoshopped image goes viral - http www thehindu com news international world sikh-man-wrongly-labelled-terrorist-after-photoshopped-image-goes-viral article7883341 ece pic twitter com lKa2EFt9WL|49|19
