8:41 AM - 11 Dec 2015|How fold dollar bill tiny t-shirt pic twitter com Y8FaZcIi2X|410|1.3K
8:43 AM - 11 Dec 2015|Army football one coolest -- dangerous pre-game rituals http cnn 1QAv83M pic twitter com Yz26TlPt4k|185|305
5:47 AM - 11 Dec 2015|Nice try Dave pic twitter com z3ZEx2hoEI|390|323
1:41 AM - 10 Dec 2015|It makes sense Salman didn't get sentence His grammar never great|120|85
7:15 AM - 11 Dec 2015|You know things going shit costs less 5 foot-long put 5-inch-long hooker https cards twitter com cards 5vss79 19s96|8|47
7:30 AM - 11 Dec 2015|17 badass women probably didn hear 2015 http bzfd 1Q7kgMt pic twitter com 59OQAlclUD|532|761
9:00 PM - 10 Dec 2015|Always give 100 Sometimes http 9gag com gag a9PQLxD ref tp pic twitter com 7lSckGHck4|2.9K|3.1K
9:32 PM - 10 Dec 2015|Beer third popular drink world right water tea|745|1.5K
10:00 PM - 10 Dec 2015|Japan keeps killing whales Anonymous shut Prime Minister's website http bit ly 1M6lDmz pic twitter com r91kA99vFj|223|262
9:00 PM - 9 Dec 2015|When start draw don't feel like continuing http 9gag com gag am8EDKd ref tp pic twitter com T07MHS5Olf|4.5K|6.4K
