1:06 AM - 10 Dec 2015|Looks like even court High #HighCourt #SalmanVerdict|132|124
1:11 AM - 10 Dec 2015|The car drunk much diesel caused accident The police filed FIR car #SalmanVerdict|116|90
1:24 AM - 10 Dec 2015|Is everyone giving Bigg Boss Thums protest Salman virginity #SalmanVerdict|5|4
7:01 AM - 8 Dec 2015|Delhi govt move court seeking action CP BS Bassi Vigilance dept found guilty flouting norms buying flat PTI|60|35
7:17 AM - 1 Dec 2015|These numbers VIP VVIP world Don't miss pic twitter com aM1yXN1I3g|177|187
8:35 PM - 23 Nov 2015|Awesome 7200 FPS Lightning pic twitter com KiUuoBfTD2|641|920
10:54 AM - 23 Nov 2015|Dear @aamir_khan When Incredible India become Intolerant India Only last 7-8 months #AtithiDevoBhavah|11K|11K
