9:39 AM - 10 Dec 2015|A big thank @priyankachopra sending love way Montreal part #5YearsOfRanveerSingh 3|43|57
12:25 AM - 10 Dec 2015|@mojorojo @amoghranadive there's 20 mins gameplay footage also playable multiplayer beta|2|11
10:51 PM - 9 Dec 2015|How wonderful thank much sweet surprise @Team_RanveerS https www facebook com RanveerSinghOfficial videos vb 819736761387920 1174681535893439 type 2 theater #5YearsOfRanveerSingh|272|709
11:05 AM - 9 Dec 2015|RANVEERIANS Don't forget join us 11AM IST sharp #5YearsOfRanveerSingh We make day remember hero Spread|29|24
11:01 PM - 2 Dec 2015|Helpline numbers Do retweet pic twitter com rHD94W82Bk|2.9K|1.4K
11:19 PM - 29 Nov 2015|TO VICTORY https www youtube com watch v YUH9jD__qHY #rage #anthem #Malhari|402|926
