11:41 PM - 3 Dec 2015|We sending stock water Coast Guard distribution flood affected areas Our prayers Chennai Be safe|361|322
5:24 AM - 3 Dec 2015|This message reads sadly But anyone help Would great pic twitter com sbhh5XalSy|768|544
5:45 PM - 3 Dec 2015|My thoughts prayers everybody suffering floods Chennai @chennaifloodshelp|2.7K|4.3K
12:49 AM - 3 Dec 2015|Pregnant ladies - wonderful soul ready 2 bear delivery cost Call Let god bless #chennairains pic twitter com RI23hjKbjZ|720|308
2:44 AM - 3 Dec 2015|Have stocked 1500 biscuit packets Unable reach people@Actor_Siddharth @dhanushkraja @onlynikil help pic twitter com cJj1W2oeVe|313|135
