8:00 PM - 10 Dec 2015|It's time year Santa Claus Michael Buble get employed|23|70
1:00 AM - 10 Dec 2015|13 years trolling|121|203
11:27 AM - 6 Dec 2015|Hello side I love potatoes fried|490|761
8:23 AM - 3 Dec 2015|Every new day another chance lose faith humanity|3.9K|4.9K
11:15 AM - 26 Nov 2015|I'm thankful -self checkout lanes -drive-thrus -headphones -text messaging -Netflix -friends three -screening phone calls|186|268
