3:51 PM - 11 Dec 2015|Sometimes I wanna tweet selfie I ain't trynna set world fire|9.5K|14K
10:12 PM - 5 Dec 2015|You're child Yes Time 2 grow How Be adult How Act Mature Means Like everyone else Really Thats Growing Yes No thanks|272|291
12:28 AM - 1 Dec 2015|Astronauts describing space Barry Wilmore seen shit pic twitter com WPPsaLJDf8|21K|21K
7:43 AM - 4 Dec 2015|Wear t-shirt support foundation @mykoovs #HardwellGuestlist http hwl dj koovshwf pic twitter com qzPwETDq0w|311|729
12:49 AM - 2 Dec 2015|Thank much support #TeamSuper I survived day one I also don't wifi yet forgive lack vlogs x|656|4K
9:39 AM - 1 Dec 2015|Hello friend RT congratulate #MrRobot winning inaugural #GothamAward Breakthrough Longform Series https twitter com variety status 671528971234729984|155|200
9:13 AM - 24 Nov 2015|So @Vicetone remixed Colors track I @Tiesto remix album Preview http bit ly 1SWxoBo pic twitter com AJ92ZT5DVD|680|1.5K
10:06 AM - 17 Nov 2015|Best Weeknd Ever #HangoutFest pic twitter com HXQ3weCCrX|4K|4.3K
