6:00 PM - 9 Dec 2015|Some #Virgos learn say life would much better|1.2K|1.5K
6:49 AM - 9 Dec 2015|#JumlaJayegaPakistan hahaha another u turn frm modi pic twitter com 9AEXh03o7u|71|24
10:25 AM - 9 Dec 2015|BJP really deserve #JumlaJayegaPakistan pic twitter com xygupFT3v9|16|10
6:00 PM - 29 Nov 2015|#Virgo gets irritated forced communicate If decide particular day trust it's good reason|1.7K|2.1K
2:32 AM - 30 Nov 2015|Congratulations Manish presenting strongest anti-corruption law independent India - Delhi JanLokpal Bill 2015 A historic day|2.2K|2.4K
6:00 PM - 28 Nov 2015|When #Virgo finds person like It's like game chess Everything carefully thought|1.3K|2K
10:55 AM - 28 Nov 2015|Had @raghav_chadha frm othr pol party wud hav blastd PB abusivenss PB mst b thnkful tht RC's decency saved face|419|248
8:59 AM - 26 Nov 2015|What shame #AmbaniStealsModiSleeps|34|8
9:08 AM - 26 Nov 2015|#AmbaniStealsModiSleeps Nation weeps it's indeed Suit Book ki Sarkar Few pic twitter com OUpZUCQG3Y|5|1
9:11 AM - 26 Nov 2015|ongc suffers loss 11k crores ambani steals gas #AmbaniStealsModiSleeps @DrunkVinodMehta|7|2
12:35 AM - 24 Nov 2015|Jug Suraiya's blog PM @narendramodi All form function http blogs timesofindia indiatimes com jugglebandhi pm-modi-all-form-no-function pic twitter com 0lctZcosu0|344|302
8:22 AM - 18 Nov 2015|Feel nostalgic see pic We burnt govt's 'jokepal' time pic twitter com 3K43FHVa7Q|2.8K|3.1K
