4:57 AM - 11 Dec 2015|Amazing #Canada PM @JustinTrudeau personally welcoming #Syria refugees @akhbar pic twitter com Agkaqgn0Vg|2.1K|1.8K
4:11 AM - 10 Dec 2015|Justice right #salmanverdict pic twitter com 62Lrs0lYX9|264|245
9:57 AM - 7 Dec 2015|Cricketer Kusal Perera banned using steroids Against Pakistan Must weird Pak someone cheat #SLKaAzhar|36|42
