9:38 AM - 10 Dec 2015|He knows speak He speaks know Shut I'm saying|2.7K|4.1K
6:23 PM - 9 Dec 2015|No matter tough life gets matter dark times matter world says remember true aim life good sex|89|93
3:17 AM - 9 Dec 2015|Me What 'og ot eerf er'ouY' spelled backwards Judge Counting fingers You're free go Lawyer This man judge|411|929
7:41 AM - 7 Dec 2015|When accidentally like ex's Instagram pic twitter com S4jR8Pyjg4|266|513
3:30 AM - 8 Dec 2015|Your relatives often come home time relative Seriously Watch video find #ConfusionKaEnd https amp twimg com v 9082cfe7-1ca0-47fd-a0ae-0c6df6d008d7|97|180
