10:27 AM - 6 Dec 2015|Tamasha The person interact Twitter person real life Imtiaz Ali replaced Twitter Corsica|23|14
3:03 AM - 5 Dec 2015|im ignoring ur snapchat im ugly reply moment|5K|7.9K
1:46 AM - 2 Dec 2015|@ibnlive DON'T YOU GET IT STOP USING CHENNAIRAINSHELP FOR NEWS IT IS FOR PEOPLE TO CONNECT TO THE NEEDY STOP BEING STUPID|51|10
5:56 AM - 1 Dec 2015|You want simple one-sentence explanation caused ISIS pic twitter com S7u9iOXdPH|7.1K|6.7K
9:16 AM - 25 Nov 2015|quiet exam hall students writing bio exam Answer question 1 Foodie music lover INFP quirky sapiosexual RTs endorsements|14|18
9:59 PM - 21 Nov 2015|Aaj Breakfast mein gaali khaayi It complimented Mom's simmering hot temper slight touch disappointment #FoodBlogging|3|7
1:03 PM - 18 Nov 2015|Pretty Woman taught us find true love first become prostitute|6|9
