8:27 AM - 11 Dec 2015|Wherever go go heart|1.4K|1.5K
5:34 AM - 11 Dec 2015|@rsulegaokar Thanks follow YOU ROCK Hope get along #TuitUtil http www tuitutil net|1|1
3:59 AM - 9 Dec 2015|Day @indiaforums pic twitter com ja0qXtC2Xa|326|1.5K
5:48 AM - 10 Dec 2015|Tomorrow entire cast ky2 coming Delhi pic twitter com Rqa84tWJPa|463|1.8K
11:27 PM - 9 Dec 2015|Welcome back tharki #ParthSamthaan #insta pic twitter com BUI3dKyyOt|291|1K
12:35 AM - 9 Dec 2015|So pani fans r msgng dat m spoiling pani feelz lol jst go ahead n unfollow cos i'lkeep blocking u dun involve ds|108|548
3:13 AM - 6 Dec 2015|Prayers 1 msg frm parth pic twitter com 7QicxroL9F|456|1.3K
12:40 AM - 6 Dec 2015|Prayers frm parth chennai nt social media sites forwarding msg u God bless pic twitter com F3ppsHqdJ4|448|1.2K
2:21 AM - 1 Dec 2015|Out sight mind always stay aware Spread awareness Support cause #KnowAIDSNoAIDS pic twitter com GHt2TDXZ2c|307|1.1K
