11:17 PM - 23 Nov 2015|Wonder didn't feel fear bombs ripped heart mumbai Or security breached #26 11-gosh point argument|3.8K|3.3K
11:19 PM - 23 Nov 2015|Let's cut BS-why can't people openly say weren't happy since d day Modi became PM instead shaming whole country|6.7K|5.3K
11:22 PM - 23 Nov 2015|Really-have guts say openly instead dragging whole country's image I don't problem form protest|1.9K|1.9K
