2:18 AM - 7 Dec 2015|Honestly I encounter another idiot social media associates terrorism skin colour religion I'm going collapse|2.4K|5.9K
11:28 PM - 6 Dec 2015|Worms allegedly found Patanjali noodles I know Patanjali organic But taking 'Chinese Masala' flavour far|47|78
8:39 PM - 6 Dec 2015|This okay This never okay pic twitter com Lns8dloffo|24|25
9:14 PM - 6 Dec 2015|No matter making feel unloved know precious wonderful worthy cherished loved greatly|229|564
3:30 AM - 6 Dec 2015|Now #BeingHumanClothing available UK Check http www beinghumanclothingonline co uk|3.1K|8.1K
2:56 AM - 6 Dec 2015|VLEEKMAS uploading D http youtube com leadingladybeauty pic twitter com g8BlIWigom|8|21
12:11 PM - 2 Dec 2015|Hey @TheEllenShow How dance-off w @itsjudytime @BenjiManTV sound https youtu b5eIGBHbJiU http prizeo com dancember #Dancember|79|129
12:34 PM - 2 Dec 2015|tHANK YOU RT @RitaMMawad @TheEllenShow check Great caused amazing people #dancember http www youtube com watch v b5eIGBHbJiU sns tw|24|56
5:28 PM - 4 Dec 2015|Got #dancember T-shirt today support friends @itsjudytime @benjimantv Be sure https www instagram com p -5EVRCFKKO|5|27
7:17 PM - 5 Dec 2015|What's Muslim cooking Hindu temple Christians delivering Can't say people instead Fuck you'll never change|225|140
12:39 PM - 4 Dec 2015|@itsjudytime @TheEllenShow @BenjiManTV Yaaaay We want sooo much #dancember #getinvolved #Ellen|17|31
4:40 PM - 4 Dec 2015|@itsjudytime @TheEllenShow @BenjiManTV Yesss Ellen show would love see happen #Dancember|26|55
1:39 PM - 5 Dec 2015|People I would love collaborate #Dancember @TheEllenShow @macklemore @RyanLewis @TonyRobbins|51|108
11:32 AM - 4 Dec 2015|Hey @TheEllenShow think it's time DANCE OFF @itsjudytime @BenjiManTV https youtu b5eIGBHbJiU #Dancember|928|640
1:47 PM - 3 Dec 2015|ever looked someone realized much you're love|22|53
11:47 PM - 2 Dec 2015|Couple Syed Farook Tashfeen Malik left six month old daughter grandmother b4 mass shooting spree https twitter com guardian status 672319234953842688|59|17
8:53 PM - 2 Dec 2015|JB chef hat shares secret recipe today's vlog #itsJudysLife https youtu x7TmQzGLouI http fb 6YydyxrRo|3|42
3:02 PM - 2 Dec 2015|Bombing wrong vile I genuinely disgusted MP's #DontBombSyria|10|36
4:45 AM - 2 Dec 2015|Whatever makes mad leave Whatever makes smile keep|6|16
12:12 PM - 26 Nov 2015|I'm hosting 3 giveaways one ig youtube twitter chance win RT following #livixgiveaway pic twitter com 5WpIw5YLhL|671|338
