9:25 AM - 11 Dec 2015|Racing way Dubai India @iptl pic twitter com OUgsbQtPhw|2.3K|5.9K
6:01 AM - 11 Dec 2015|This Donald Trump related correction Globe maybe funniest thing you'll read today pic twitter com dQKqxXGgsc|1.6K|1.1K
5:48 AM - 11 Dec 2015|Bts #Tapal tvc #FawadKhan pic twitter com pIIJOHP71Y|17|43
7:13 AM - 11 Dec 2015|@Vijay_Amritraj Which Hollywood female star would like work @iamsrk I pick 1 1 Monday Tuesday #iimbue|63|40
7:14 AM - 11 Dec 2015|SRK On second thought Jeniffer Lawrence Also Meryl Streep #iimbue|61|40
7:08 AM - 11 Dec 2015|@ShashiTharoor How see social media @iamsrk Social media like relationship stings times it's nice #iimbue|90|50
6:49 AM - 11 Dec 2015|Let sink minute pic twitter com oAvZiIPwix|480|396
12:00 PM - 10 Dec 2015|They cute movie - #Khoobsurat #sonamkapoor #FawadKhan pic twitter com WocVQIhw2D|7|3
8:00 AM - 11 Dec 2015|Just like best way cure hangover keep drinking best way cure jetlag keep travelling Narendra Rumi Modi|60|33
8:08 AM - 11 Dec 2015|Latest pic #FawadKhan marriage anniversary - pic twitter com XWQm12OmAa|3|8
6:58 AM - 11 Dec 2015|@iamsrk launches 2015 @forbes_india Celebrity 100 Special issue IIM Bangalore Alumni's Leadership Summit pic twitter com 4S1WvYYBhN|18|8
6:38 AM - 11 Dec 2015|I miss @_fawadakhan_ Plz back Twitter Your lovely fans want say many things 2 u plz back ILU pic twitter com 8895uej6r2|7|14
6:25 AM - 11 Dec 2015|#IIMBUE I hurt back could afford treatment ended theatre group @iamsrk @IIMBAA @IIM_Bangalore|90|39
6:46 AM - 11 Dec 2015|Do thing internet changed way #Bollywood works Yes course accessibility fans increased @iamsrk|73|30
6:47 AM - 11 Dec 2015|#IIMBUE Q Which leader would like follow @iamsrk My role model @kiranshaw @IIMBAA @IIM_Bangalore|59|14
6:49 AM - 11 Dec 2015|#IIMBUE I don't watch many films I get confused I liked #Queen @iamsrk @IIMBAA|88|30
7:03 AM - 11 Dec 2015|@iamsrk Oh God No No He Can't Be 50 @SRKUniverse pic twitter com LtBn406LRd|4|6
6:08 AM - 11 Dec 2015|#IIMBUE @iamsrk enters venue get hear 'Love You Shah Rukh' @IIMBAA @IIM_Bangalore|102|51
6:30 AM - 11 Dec 2015|@iamsrk says AbRam love guru RT think that's sweet pic twitter com JTAGA2HzGw|129|222
6:16 AM - 11 Dec 2015|#IIMBUE Raising question sexiness sexuality get questions @iamsrk|74|33
6:19 AM - 11 Dec 2015|SRK It's managerial approach imaginerial approach #iimbue|56|25
6:19 AM - 11 Dec 2015|#IIMBUE You cannot create something within box unbend-able wall @iamsrk @IIMBAA @IIM_Bangalore|82|32
6:17 AM - 11 Dec 2015|#IIMBUE I share joke ban politically incorrect @iamsrk pic twitter com muijqp47SU|127|79
7:57 PM - 10 Dec 2015|Now Salman acquitted Human killing case focus Black Buck case He start NGO called 'Being Animal'|308|180
6:49 PM - 10 Dec 2015|Dear @twitter new 'Moments' feature pretty awesome innovative one question How disable|17|33
5:37 PM - 10 Dec 2015|This awesomeness pic twitter com CWv8ZljTsI|19|10
12:12 PM - 10 Dec 2015|#fawad ke add main sub say zyada focus chez py Kia jata h Of course fawad pay Fawad ke smile py look voice eyes Lips Expressions etc|3|3
8:24 AM - 10 Dec 2015|#Fawad Khan looking extra gorgeous today's episode #Ashk @Zindagi|4|6
10:15 AM - 10 Dec 2015|The power Sharad Pawar In one photo Real Not photoshopped pic twitter com AY2zZhGFI0|21|8
9:18 AM - 10 Dec 2015|Valuable tip enjoy Social Media #BeLikeBilly pic twitter com Qr6vvq29db|4|0
7:31 AM - 10 Dec 2015|Anupam Kher big fan everyone alleged committed crime 2002 https twitter com AnupamPkher status 674910403801907200|403|181
7:51 AM - 10 Dec 2015|@imeandmyzelf @crazy4fawad Always For hottie pic twitter com ycajQparvf|3|2
6:07 AM - 10 Dec 2015|Vote Retweet poll year #SalmanVerdict Salman Khan|25|3
7:10 AM - 10 Dec 2015|Truth prevails Back seat pe ye baitha tha kya https twitter com AnupamPkher status 674910403801907200|91|63
5:17 AM - 10 Dec 2015|Exclusive Pic Salman's Car drove 2002 #SalmanVerdict pic twitter com qjUMwHYuZl|90|71
6:28 AM - 10 Dec 2015|#FawadKhan #Collage #TapalTvc THE PERFECT HERO THE PERFECT HUSBAND #TumMainAurAikCupChai pic twitter com YVah0aocFN|9|22
7:08 PM - 9 Dec 2015|What Deepika said vs headline I find TOI's choice context-less edited headline disingenuous pic twitter com mvhStT9sOX|828|331
5:00 AM - 10 Dec 2015|Will Mumbai Salman Khan alternate road days|42|26
4:46 AM - 10 Dec 2015|Did You know @_fawadakhan_ also good making Thai Food The guy champion all-rounder|15|23
4:41 AM - 10 Dec 2015|The new Tapal Chai Ad exactly fans needed A micro mini romantic movie #FawadKhan https m facebook com story php story_fbid 10153729509522482 id 106333322481 _rdr|6|10
