2:35 AM - 7 Dec 2015|And yet AB failed cross finishing line managed win hearts #ProteaFire|4|6
5:45 PM - 3 Dec 2015|My thoughts prayers everybody suffering floods Chennai @chennaifloodshelp|2.7K|4.3K
9:42 PM - 1 Dec 2015|It hard remember time Annaji fasting #OnAirWithAIB @AllIndiaBakchod pic twitter com KNlL8ydgaW|6|19
6:15 PM - 30 Nov 2015|#EXCLUSIVE @iamsrk backs Aamir Khan controversial intolerance remarks says actor misquoted #AamirOnIntolerance|82|40
9:03 PM - 29 Nov 2015|Some Monday morning laughter great week ahead pic twitter com mUYNwzOZzo|11|40
