7:33 AM - 11 Dec 2015|Kabul guest house attack http bbc 1NSgBeK|69|38
8:01 AM - 11 Dec 2015|Your tour Al Barsha Jumeirah Village Circle easy spot Al Freej bus Just wave|1|3
12:05 AM - 11 Dec 2015|In Canada prime minister personally greets Syrian refugees arriving country http bbc 1QzWVRM pic twitter com oLpQA2opUG|1.8K|1.8K
8:04 PM - 9 Dec 2015|We proud partner @The_Hindu #IndiaForChennai campaign Here's participate pic twitter com qIBpxuXl2f|119|88
7:45 PM - 8 Dec 2015|To prove statement tht communities contributing relief measures Chennai pic twitter com 8D9vJofXf8|35|93
