3:36 AM - 10 Dec 2015|I accept decision judiciary humility I thank family friends fans support prayers|13K|28K
12:21 AM - 10 Dec 2015|@BeingSalmanKhan great human also innocent acquitted charges #MumbaiAccidentCase|421|436
12:09 AM - 10 Dec 2015|#HitandRunCase Bombay high court acquits @BeingSalmanKhan charges #SalmanVerdict pic twitter com lCX33vArrL|201|216
2:57 AM - 8 Dec 2015|Sanjay Dutt freed jail March Glad I T Returns aren't things coming March|23|66
5:38 AM - 7 Dec 2015|Barack Obama tells fearful America ISIS defeated http www ndtv com world-news barack-obama-tells-fearful-america-isis-will-be-defeated-1252034 pic twitter com DlIWsqLa8X|14|53
5:12 PM - 6 Dec 2015|It responsibility reject religious tests admit country @POTUS|850|956
9:15 PM - 5 Dec 2015|Happy birthday one brightest minds contemporary cinema dear friend @shekharkapur Love happiness lots peace|105|568
8:53 AM - 5 Dec 2015|When many good things happen together I take moment grateful I Have lots big news share soon #blessed|544|1.6K
