1:29 AM - 29 Nov 2015|Trolling spontaneous reaction disagreement It profession #Observation|477|1.2K
4:14 AM - 22 Nov 2015|What #technology look like 5 years - Shared Controlled Connected Social Glocal - http tcrn ch l ReBf #TechTrends|2|0
11:28 AM - 23 Nov 2015|Dear @aamir_khan #SatyamevaJayate u talked evil practices gave Hope So even Intolerant times u need 2 spread Hope Fear|9.1K|11K
5:17 AM - 24 Nov 2015|#RussianJet threatening Turkey says President Vladimir Putin|29|31
