8:30 AM - 26 Nov 2015|Design looks like feels like Design works https medium com notes-essays-cs183c-technology-enabled-blitzscalin scaling-airbnb-with-brian-chesky-class-18-notes-of-stanford-university-s-cs183c-3fcf75778358# 5auq1fs7c pic twitter com J0vRHpqRAe|3|2
12:17 PM - 8 Dec 2015|This world map shows cities smog real time http buff ly 1N9mBCw pic twitter com kjqiudfHe1|18|25
10:53 PM - 27 Nov 2015|Me watching Jessica Jones WTF ALL CHARACTERS ARE WOMEN THE MEN ARE EITHER BAD OR EYE CANohh Okay Ah So that's feels like|15K|21K
10:30 AM - 23 Nov 2015|Women make 50 population 1 4 persons covered news media http owl li UZ446 #GMMP2015 pic twitter com p0MiVKIxJB|476|249
