7:06 PM - 8 Dec 2015|One child one teacher one pen one book change world@beingmaryjane #Malala|23|28
11:53 AM - 8 Dec 2015|The best books I read year 75 seconds https amp twimg com v 3c75e4cd-c032-4768-beb1-669e17f223c8|1.6K|3K
7:52 AM - 7 Dec 2015|Shah Rukh Khan donates Rs 1 crore Chennai flood victims http bit ly 1m6WOSw pic twitter com 3hctleRzEe|216|206
7:33 AM - 7 Dec 2015|Ground Report 'It's humanity that's encouraging us help people affected #ChennaiRains' #ITVideo http snpy tv 1RzVIuL|22|30
5:52 AM - 7 Dec 2015|Pls share pic twitter com sSbd9uAoTd|391|320
4:27 AM - 7 Dec 2015|There always gap Expect Get @EconomicTimes pic twitter com ptVaxcOsmZ|97|348
9:23 PM - 5 Dec 2015|I'm humbled strength Chennai|19|70
12:05 PM - 3 Dec 2015|Swift Apple's powerful new programming language open source GitHub https github com blog 2089-apple-open-sources-swift-on-github utm_source twitter utm_medium social utm_campaign apple-swift-open-source pic twitter com Yp6WEM47LE|1.1K|920
1:41 AM - 5 Dec 2015|@AIADMKOfficial GREAT WORK U GUYS MUST BE BUSY STICKING STICKERS ONLY pic twitter com yx6yVj6vUa|5|4
7:04 PM - 3 Dec 2015|Praying overcome challenging times bounce back normalcy #ChennaiFloods|2.8K|4.8K
