5:14 AM - 5 Dec 2015|In Paris Ban Ki-moon @UN Messenger Peace Climate Change @LeoDiCaprio meet #ActionDay #COP21 pic twitter com OR1ciktCLu|1.3K|2.7K
2:47 PM - 4 Dec 2015|@MarlowNYC @jenyamato Why spell Carol wrong|1|4
6:36 PM - 5 Dec 2015|It's 2015 Guy Fieri still looks like someone watered Chia Pet Axe Body Spray|55|170
4:59 PM - 6 Dec 2015|@rilaws I cry Linus gets pageant explains meaning Jessica Chastain|2|4
4:43 PM - 6 Dec 2015|@louisvirtel Do think talks two Rooney Mara Andie MacDowell anymore|1|4
4:39 PM - 6 Dec 2015|@rilaws Every day Tilda texts agent asking redeem myrrh|1|9
4:24 PM - 6 Dec 2015|@louisvirtel I always miss around birthday - Tilda Swinton Christmas|1|13
4:18 PM - 6 Dec 2015|Tilda Swinton's handwriting Wingdings|85|227
10:16 PM - 4 Dec 2015|I need pray Lord Jesus tonight thank creating beautiful men pic twitter com k4rwkib0HB|10|19
5:18 PM - 6 Dec 2015|The moment realize love something hate pic twitter com v7exZ7j1I9|401|1.2K
3:41 PM - 6 Dec 2015|Donald Trump like crazy ranting uncle hope friends never meet|7.8K|11K
11:37 AM - 6 Dec 2015|@devincf @BilgeEbiri #TeamNightBefore If want interesting awards contenders gotta applaud interesting films|2|11
8:36 AM - 6 Dec 2015|The Movies That Made Us Love And Hate Sequels In 2015 http www buzzfeed com alisonwillmore best-and-worst-movie-sequels-of-2015 utm_term jqwllZD2w via @alisonwillmore pic twitter com rclQKabJgd|1|14
12:43 PM - 1 Dec 2015|50 Shades Cosplay pic twitter com bXoncnyezj|69|107
6:04 PM - 4 Dec 2015|@sherrilynling asks Oscar Daisy two duet sometime #TwitterAwakens pic twitter com z6WkI3dXIa|3.4K|6.1K
5:33 PM - 5 Dec 2015|horrible nightmare mass shootings nearly every day nothing done I never woke|14|38
3:41 PM - 2 Dec 2015|making political post turning notifications web equivalent putting sunglasses walk away explosion|105|347
6:21 PM - 1 Dec 2015|I would never leave shower I pic twitter com 0dSmPXArv3|484|818
6:18 PM - 1 Dec 2015|Fess Pete #ScreamQueens https vine co v iWOmQBJ2BgO|174|350
5:42 PM - 1 Dec 2015|@Michael_Truly Pledge Allegiance wedding best @DilaraMarie pic twitter com 2Tf9eZGUgj|3|13
12:56 PM - 1 Dec 2015|Batman Superman crazy love pic twitter com TuqaqsiakB|326|424
1:06 PM - 1 Dec 2015|What's missing world today kindness compassion life beings https twitter com BoingBoing status 671768306156728322|180|415
10:53 PM - 27 Nov 2015|Me watching Jessica Jones WTF ALL CHARACTERS ARE WOMEN THE MEN ARE EITHER BAD OR EYE CANohh Okay Ah So that's feels like|15K|21K
7:09 PM - 27 Nov 2015|When I tell CREED best damn movie I've see year|9|11
10:14 AM - 26 Nov 2015|This thanksgiving I'm thankful way @michaelb4jordan looks Creed|3|10
6:25 PM - 25 Nov 2015|It might struggle wait May you've seen #CaptainAmericaCivilWar trailer http bit ly 1lgTl3a pic twitter com dbwf3dvjsV|126|173
9:37 AM - 23 Nov 2015|The THR roundtable women lede versus men pic twitter com kJiEZdNP4G|489|315
6:37 PM - 24 Nov 2015|Zayday live tweeting whole night ZAYDAY IS ME #ScreamQueens|84|214
7:40 AM - 24 Nov 2015|Congratulations @sofiavergara @joemanganiello wishing love happiness always #LOVE pic twitter com XMYZQ7y1ai|178|1.1K
8:08 PM - 23 Nov 2015|Between lunatics hurt innocent people Mali Paris Donald Trump I need drink|76|281
4:44 AM - 19 Nov 2015|How finish round @McIlroyRory http snpy tv 1O5fQUp|129|137
6:52 PM - 17 Nov 2015|BITCH CAME OUT OF THE BLUE UNINVITED AND LEFT ME FUCKED UP|376|2.3K
6:26 PM - 17 Nov 2015|RT you're loving Zayday Earl Grey #ScreamQueens pic twitter com CQKXTPVjTg|200|383
9:31 AM - 15 Nov 2015|In completely sane world madness freedom - author J G Ballard #bornonthisday pic twitter com BuCIddoj6G|105|104
