9:10 AM - 30 Nov 2015|never forget d p's reactions sam pepper tried talk pic twitter com iODtdaNenf|3.1K|3.6K
3:14 PM - 24 Nov 2015|@arianasins bitch I'm praying blind ass|376|986
8:15 AM - 25 Nov 2015|Aunt How long u gon stay damn phone Me long ur man stayin tht business trip #ThanksgivingClapBack pic twitter com uksHBFcEJs|348|488
5:11 PM - 16 Nov 2015|Personally I consider 'dude' 'bro' gender neutral terms|46|117
