2:08 PM - 5 Dec 2015|Other girls winter vs Me winter pic twitter com mRRtZ0RfdJ|4K|6.1K
12:52 PM - 10 Dec 2015|needs Christmas lights you're around cute lil smile could brighten anybody's day|3|4
9:41 AM - 11 Dec 2015|If you're ever wondering I'm friends brooke goodfellow pic twitter com 3ykW2NAMlR|11|53
12:51 PM - 12 Dec 2015|I need g2 lmao|2|3
