10:53 PM - 30 Nov 2015|Congress hold first-ever forum violence transgender people http fb 70agRjKxx|1|1
2:48 PM - 27 Nov 2015|Our hearts go everyone involved tragic situation @PPRockyMountain statement situation Colorado http ppact io 1Xm5HZa|668|621
8:56 AM - 25 Nov 2015|Here alternatives shopping Black Friday @codepink #BuyNothingDay #OWS pic twitter com Y2NiYSzJwK|15|11
5:37 PM - 24 Nov 2015|We're artists ISIS @favianna re Lockheed Martin tracking work #Fightfor15 art #WalmartStrikers http bloom bg 1PXTeF6|17|7
8:23 AM - 24 Nov 2015|For 1st time history Chicago police officer charged w murder on-duty shooting https www washingtonpost com news post-nation wp 2015 11 24 chicago-police-officer-charged-with-murder-for-shooting-black-teenager #LaquanMcDonald|2K|1.1K
7:54 AM - 20 Nov 2015|We support trans survivors remember trans lives we've lost anti-trans violence 2015 #TDOR pic twitter com aK5RRY5dmE|35|32
12:56 PM - 18 Nov 2015|U Cal Berkeley #StudentBlackOut pic twitter com L1m6DL8Ro8|213|247
11:23 AM - 18 Nov 2015|SPEAK THE TRUTH #StudentBlackOut #BlackAtStanford pic twitter com 8CqQsxwYJr|320|414
