5:54 AM - 17 Nov 2015|Refugees Syria pouring great country Who knows - could ISIS Is president insane|17K|28K
1:01 PM - 16 Nov 2015|there's never time I'm breakfast food|3|5
1:00 PM - 16 Nov 2015|there's never time I'm breakfast food|3|9
