11:59 AM - 1 Dec 2015|Logic concert @bombfactorydfw 3 26 @Logic301|4|2
3:38 PM - 22 Nov 2015|She's HERE #Selenators @SelenaGomez looks STUNNING #AMAs red carpet #RevivalAMAs pic twitter com JY063Hig8E|4.8K|5.4K
3:30 PM - 22 Nov 2015|Selena Gomez looking drop dead gorgeous red #ERedCarpet #AMAs pic twitter com Bgg7PYFaGq|391|620
