4:38 AM - 8 Dec 2015|This driver straight gangsta pic twitter com 006VfGP73t|1.1K|1.1K
7:50 AM - 9 Dec 2015|When bae sends cute text pic twitter com tfUJ9fqJ9o|894|1.2K
1:23 PM - 12 Dec 2015|Bored pic twitter com Y2fFtjvJrw|1|1
