8:13 PM - 22 Nov 2015|randomly sends long ass paragraph much likes pic twitter com lb5mqvKlbn|13K|18K
10:31 AM - 12 Dec 2015|10 Things I Hate About You 1999 pic twitter com vDu87aRtAR|349|476
10:32 AM - 12 Dec 2015|Good know http www bbc com future story 20120917-is-it-bad-to-crack-your-knuckles pic twitter com 232NccXWZG|609|1.1K
10:00 AM - 12 Dec 2015|Here midday temps around area More weather http wtsp com pic twitter com Jr22HehtFe|3|1
