12:47 PM - 2 Dec 2015|Time goes pic twitter com XgT8EJJSpF|1.6K|2.4K
10:47 AM - 12 Dec 2015|Final draft climate change agreement accepted delegates COP21 conference Paris http cnn 1Nht7Y2|512|658
10:55 AM - 12 Dec 2015|Track Down Samantha Brown airing 5 mins If watch maybe @travelchannel make series http ow ly fb06f|9|28
7:30 PM - 4 Dec 2015|#Trainspotting sequel original cast director bought TriStar http ow ly VvWn0 pic twitter com DWfoM0q77X|81|129
7:35 PM - 4 Dec 2015|Brett Rossi says she's scared Charlie Sheen filing new lawsuit http et tv 1Q6dw10 pic twitter com pNSX3PGPfR|14|14
4:28 PM - 4 Dec 2015|Robert Loggia veteran actor 'Scarface' 'Big' dies 85 pic twitter com KWz8oQ1qNW|128|189
5:15 PM - 1 Dec 2015|What's Miami Key West Amazing natural adventures Florida's Keys http usat ly 1RC7QsR pic twitter com ggX2Oblk7w|15|25
7:11 AM - 1 Dec 2015|Scarlett Johansson sings holiday jingle #WorldAIDSDay http eonli ne 1Qbctv8 pic twitter com tiJqsAsoa7|176|360
7:00 AM - 30 Nov 2015|Team work makes dream work RT miss @SieglerKelly @YolandaMcClary pic twitter com oYDbHLkMkE|60|50
7:34 PM - 29 Nov 2015|The chemical industry inherited mantle Big Tobacco writes @NickKristof @nytopinion http nyti ms 1MNChev|185|179
4:10 PM - 28 Nov 2015|21 annoying TV characters EVER http ow ly Vdo7d pic twitter com 6sfhSXGa67|46|166
4:23 PM - 28 Nov 2015|When store window window When it's holiday season New York http nyti ms 1MKWVM9 pic twitter com QbQJE6yEZe|205|282
4:40 PM - 28 Nov 2015|Florida Police launch investigation woman shares photo dog muzzle taped shut http peoplem ag 6ap5Kel pic twitter com lJBv0M437o|92|238
8:46 AM - 27 Nov 2015|John Stamos Shares Adorable High School Prom Photo--That Hair Have Mercy http eonli ne 1MIww1v|19|68
9:30 AM - 26 Nov 2015|14 vintage photos Macy's Thanksgiving Day Parade years http cntrvlr co ac2GOfB #MacysParade pic twitter com LuMKH7RVzw|26|28
9:38 AM - 26 Nov 2015|TV didn't disappoint year grateful http eonli ne 1MFC78P|165|682
9:44 AM - 26 Nov 2015|The average American consume least one pound fat Thanksgiving|322|562
8:00 PM - 25 Nov 2015|A new study says toddlers learn body shaming mothers http peoplem ag OCqfaXh pic twitter com r0kOyPhqJd|68|99
8:01 PM - 25 Nov 2015|All hail @Adele '25' shatters U S Canadian records beginning http peoplem ag 2S190OA pic twitter com ePDXZ3juNF|138|465
8:09 PM - 25 Nov 2015|The best places eat New York City's major shopping hubs http tandl 1XsleS7 pic twitter com neUf9rsR6j|22|56
5:00 PM - 25 Nov 2015|NASA unraveled mystery behind Lake Tahoe's iconic blueness http bit ly 1TfMv9R pic twitter com spH2gVjGdd|130|222
1:33 PM - 25 Nov 2015|After broke removed picture photoshopped tree instead pic twitter com BMZCqMYjvX|7K|13K
6:16 PM - 17 Nov 2015|@ValKilmer says #TopGun2 http tvgd co 210Nksi pic twitter com kyZ8r5BmrQ|32|53
9:00 AM - 19 Nov 2015|Need dose sunshine Head south border Mexico's hottest resorts - http bit ly 1Hb1mAR pic twitter com BiXPuGKGfE|23|33
8:35 AM - 18 Nov 2015|Dog comes upon body water Sutter Landing along American River http sacb ee 4JuU|3|0
8:55 AM - 18 Nov 2015|Sun beach David Beckham @JDHeyman @OfficialHTL chatting one #SexiestManAlive pic twitter com m1AU5WN0SW|59|181
3:47 PM - 16 Nov 2015|@ColdJusticeTV I wonder would-be prosecutors Come y'all @SieglerKelly @MNealP can't everything|2|5
