3:52 PM - 12 Dec 2015|@TwoShotOne mixing fans Houston pic twitter com esJ1nWH8wn|56|197
3:53 PM - 12 Dec 2015|This Is What It's Like Attend Rihanna's Diamond Ball #BarkerHanger http ttto co uw1ll pic twitter com FHUGNXisxC|1|0
2:02 PM - 9 Dec 2015|#TDE @KendrickLamar made President Obama's @POTUS favorite song 2015 http txdxe com 2015 12 09 kendrick-lamar-made-president-obamas-favorite-song-of-2015 #ToPimpAButterfly pic twitter com q1Sd8SFtPC|3.4K|4.2K
