9:18 PM - 10 Dec 2015|Me explaining grades parents pic twitter com MF6FsVmvEr|1.3K|1.5K
9:19 PM - 10 Dec 2015|When come home college parents won't let go pic twitter com uGdEpO9UWm|19|25
10:14 AM - 9 Dec 2015|For extra winter add 1 pump peppermint iced coffee #ProTip pic twitter com hy17UdHE0I|753|4.4K
9:11 PM - 7 Dec 2015|Monday already drained|4|4
3:48 PM - 7 Dec 2015|Yeah sounds great totally rational there's problem kind politics pic twitter com UQsV1kzB8i|2|8
8:04 AM - 7 Dec 2015|Good luck taking finals week #KKGenius pic twitter com Nb2zsHT7xN|82|95
10:05 PM - 6 Dec 2015|Teacher homework plagiarized Me pic twitter com mhtNjQzuOm|1.3K|1.8K
5:57 PM - 6 Dec 2015|Congrats new Eta Delta chapter President @eroeske135 You're going amazing things pic twitter com znDi29emWb|10|39
7:12 PM - 30 Nov 2015|wishing @Jaclynhill woodfield I could met|1|1
7:19 PM - 30 Nov 2015|I ever meet @Jaclynhill I might cry she's much make|1|1
2:30 PM - 29 Nov 2015|Worth http tsm social q9Z8kb|41|72
12:24 AM - 29 Nov 2015|This photo dead cop baby posted send powerful message drunk driving http bzfd 1kQlY7B pic twitter com 2IjXf8mxDE|141|443
1:08 AM - 29 Nov 2015|Pause break go|2|1
1:43 AM - 29 Nov 2015|4 fun re sleeping|65|423
4:30 AM - 29 Nov 2015|t-shirts I 70 t-shirts I wear 10 t-shirts I'm willing give 0|92|217
12:28 PM - 23 Nov 2015|SCREAMING https vine co v eM0PBXTtDzq|1.1K|1.9K
1:30 PM - 24 Nov 2015|Both personalities pic twitter com V4Yd2pjCLw|12|12
7:43 PM - 23 Nov 2015|@SkyDigg4 @valpoathletics @ValpoWBB 93 communication non-verbal My game strong|12|16
7:25 AM - 24 Nov 2015|anxiety higher grades|731|910
7:41 PM - 23 Nov 2015|First time I've attempt smooth talk talking https twitter com valpoathletics status 668994815665664000|39|110
3:58 PM - 23 Nov 2015|If ya love much don't marrrry marries bowl mac n cheese lives happily ever|5|16
7:31 PM - 22 Nov 2015|Chicago winter pic twitter com qu2zbnNIJR|85|174
7:27 PM - 22 Nov 2015|This semester got like https vine co v OqpW6p3V2ez|951|820
9:48 PM - 20 Nov 2015|First snowfall got like pic twitter com XNQ1foJOUZ|1|6
11:17 AM - 16 Nov 2015|Hope see pic twitter com 5yxBzLFmoH|3|3
