12:22 PM - 12 Dec 2015|I would morning person morning happened around 1pm|969|2.2K
8:03 PM - 11 Dec 2015|someone makes u mad it's Christmas time pic twitter com 6Wl8xcnbRi|3.9K|6.1K
5:18 AM - 4 Dec 2015|selena looks like hasn't taken shower 3 days doesn't makeup it's okay cry pic twitter com 9fCW10w3jF|11K|21K
