10:59 AM - 6 Dec 2015|Use pic twitter com wQVnG5dbbl|445|1.2K
8:45 AM - 26 Nov 2015|File right thing right reasons pic twitter com OJ5sB7bzWM|129|226
11:23 AM - 16 Nov 2015|@nata1950 Checking exhibit hall #NATA2016 June 23rd place filled https instagram com p -KEUZwN5Wb|4|2
3:00 PM - 15 Nov 2015|The data mounting New study suggests eating right may keep brain aging http cle clinic 1Pn8ehj pic twitter com lx66TZFIRy|76|68
11:20 AM - 16 Nov 2015|Important get profession much possible http www athleticbusiness com athlete-safety athletic-trainers-needed-to-prevent-hs-tragedies html eid 217302757 bid 1233951|3|2
4:52 AM - 30 Nov 2015|Loving @MyArcticZero flavors #fitfood #fitness pic twitter com c7fcHGhFjl|1|2
11:13 PM - 27 Nov 2015|Thanks following @ValuedMerchants @Amaranthe1000 @FurBabyVoice @DorothyMcGinty1 @akesodx via http uapp ly|2|2
4:27 AM - 17 Nov 2015|BE STRONG weak BE BRAVE scared BE HUMBLE victorious|8|6
11:01 AM - 15 Nov 2015|RT @Kris_Sacrebleu Humming birds I've one land hand before-I love https vine co v eQJVwzvHHqV|97|112
