9:05 AM - 10 Dec 2015|literally pic twitter com DyWQoVeNZW|3.2K|4.6K
7:05 PM - 5 Dec 2015|If men giving birth babies would lot discussion regarding right choose|18K|28K
12:06 PM - 3 Dec 2015|The defunding Planned Parenthood part long-term smear campaign people want deny women right control bodies|12K|15K
11:39 AM - 3 Dec 2015|Life hack women When you're born look much like actual gun possible Talk act firearm-like possible You're welcome|9|18
1:44 PM - 1 Dec 2015|THISSSSSSSSSSSS https twitter com MistressNix66 status 671139956253921282|21|30
3:22 PM - 27 Nov 2015|There @Reuters I fixed #PlannedParenthood @danieljwallis pic twitter com UYoyB5UZUh|5K|5K
10:46 AM - 17 Nov 2015|There right wrong opinions unless invalidated ignored facts conflict|14K|18K
2:35 PM - 21 Nov 2015|Romeo check cat video Juliet omg dead Juliet hello Juliet romeo Juliet didn't mean literally dead Juliet romeo|11K|17K
7:30 PM - 17 Nov 2015|hope realize much impact you're universe alive right nothing would without|412|544
7:02 AM - 16 Nov 2015|less monday bagel|528|592
10:12 AM - 15 Nov 2015|PERFORM A GNARLY MORTAL KOMBAT FATALITY ON YOUR INSECURITIES|19|39
