1:01 PM - 12 Dec 2015|Petition Launched To Remove Donald Trump From The WWE Hall Of Fame http ow ly 38YH6H|48|63
10:38 AM - 12 Dec 2015|The federal government make 110 billion profit student loan programs next decade This morally wrong|3.2K|4.5K
6:35 PM - 11 Dec 2015|Facebook made exception hate speech rules Trump citing context value political discourse http www fastcompany com 3054592 did-facebook-make-an-exception-for-donald-trumps-hate-speech|40|18
12:42 PM - 11 Dec 2015|I got politics figure become President I got politics I give damn|22K|38K
