9:00 AM - 12 Dec 2015|In photo 1965 Frank I grab hot dogs tuxedos shows #Sinatra100 pic twitter com qlsOgP1Nm1|842|1.3K
8:22 AM - 12 Dec 2015|The cure common cold #ChicagoHistory pic twitter com PLfJCLkPvW|132|155
8:13 AM - 19 Nov 2015|How make paint pic twitter com uY2AmcmuLR|1.3K|2.7K
1:48 AM - 6 Dec 2015|Watch @Candlebox @Shinedown @Staind's @AaronLewisMusic Perform Scott Weiland Tributes http www alternativenation net watch-candlebox-shinedown-staind-perform-scott-weiland-tributes pic twitter com VWfQ8uA23K|12|26
9:09 AM - 29 Nov 2015|Putting self worth someone else's hands like putting life savings burglars pocket http bit ly 1xVCVmw|49|192
3:44 PM - 27 Nov 2015|Wait You're mad people getting abortions solution kill people Sounds legit|8|28
5:04 AM - 25 Nov 2015|When everything seems going remember airplane takes wind Henry Ford|18|17
9:30 AM - 16 Nov 2015|StarLily responds voice touch 100 sound motion combinations #AwesomeMoment https cards twitter com cards 18ce546xmg1 16g05|289|1.7K
