8:32 PM - 12 Dec 2015|Filling teacher evaluations pic twitter com Zcj8WhbVI3|6.3K|11K
7:05 AM - 7 Dec 2015|cries 20 Grammys pic twitter com aE8KQfULHc|55|35
5:50 PM - 12 Dec 2015|Beyhive let's get hopes something's might happen tomorrow #2YearsOfBEYONC|1|0
5:24 PM - 12 Dec 2015|Happy Beyonce day December 13th 2013 YAS QUEEN #ChangedTheGameWithThatDigitalDrop #2YearsOfBEYONCE pic twitter com IHtw1DNqOX|79|60
9:51 PM - 7 Dec 2015|Who knew world haute couture #StarWars would much common http vntyfr com Z43vH60 pic twitter com Q7PohWwi30|43|60
8:52 PM - 10 Dec 2015|When Bey acts like doesn't care us disappears https vine co v OPXYJEwnnB2|14|18
3:28 AM - 10 Dec 2015|Martin Luther King Jr 's 1964 #NobelPeacePrize Acceptance Speech #OnThisDay 10 Dec In full http www nobelprize org mediaplayer index php id 1853 pic twitter com 8tjQbIfqOu|277|273
7:18 PM - 9 Dec 2015|Romana Royale better get 2 seasons #AHSHotel|1|1
7:26 AM - 25 Nov 2015|The @ClaraLionelFdn's annual #DiamondBall coming Dec 10 Proud work far can't wait see what's next pic twitter com IcoLkbfGwX|6.9K|13K
10:32 AM - 8 Dec 2015|I'm finna #TrumpIsDisqualifiedParty pic twitter com ukqNuD9xN7|218|268
11:39 AM - 8 Dec 2015|Okay I'm coming plate ready #TrumpIsDisqualifiedParty pic twitter com aHu5Inw4UT|459|481
12:26 PM - 8 Dec 2015|Brang bottle #TrumpIsDisqualifiedParty pic twitter com cZucOrHsO0|265|340
4:38 PM - 8 Dec 2015|Celebrating Pops #GRAMMYs #TacoTuesday #TJOysters Captured @masklab https amp twimg com v 6599b721-e3e3-43f2-89c0-3b3fe847480e|20|58
7:56 PM - 7 Dec 2015|#MyLifeWasLessComplicatedWhen lightsaber lightsaber @starwars pic twitter com kJ5XdYlA33|19|26
2:42 PM - 7 Dec 2015|Yo #Kimye we're really happy we'll let finish South one best names time|3.4K|4K
9:16 AM - 5 Dec 2015|If Kim Kanye don't name newest child Key West missing hilarious opportunity #myfirstandlastkimyetweet|326|577
5:51 PM - 3 Dec 2015|No one could ease road like could Michael Rest Peace #TheWiz pic twitter com m16Muz68GZ|3.6K|3K
6:20 PM - 3 Dec 2015|#TheWiz came thru like pic twitter com 4Yq80vCvFp|216|202
7:10 PM - 3 Dec 2015|That baby Was blowing RT @blackmon Reminder Jazmine Sullivan SLAYED Home age 11 #TheWiz pic twitter com 3JaY9Mf6VR|549|505
7:20 PM - 3 Dec 2015|Seeing black positivity excellence tv #TheWiz pic twitter com G0PjIO1a4X|1K|764
7:01 PM - 3 Dec 2015|Mary J Blige 44 When I tell black don't crack #TheWiz pic twitter com ix5Ayx79KD|174|243
6:19 PM - 3 Dec 2015|BRB HEADED TO THE EMERALD CITY #TheWiz pic twitter com NmSVsR3lPW|1.4K|1.2K
4:40 PM - 3 Dec 2015|Keeping nerves together #TheWiz pic twitter com r08hqbXtDH|309|938
6:22 AM - 1 Dec 2015|it's christmas 1st pic twitter com 43kA4BSxoT|1.6K|1.6K
3:09 AM - 30 Nov 2015|I murder bars like Cain Abel Better call Charlie cause I'm surrounded angels #PopeBars pic twitter com vd2sOi7Mzi|5.6K|4.6K
12:34 PM - 30 Nov 2015|MY SOUL CYPPHER KEEPS MOVIN LIKE A ROLLIN STONE http www okayplayer com news lalah-hathaway-eddie-levert-chisette-michelle-k-ci-soul-train-awards-soul-cypher-video html|270|511
8:13 PM - 28 Nov 2015|watch takes ha pic twitter com VifYpAM9mY|892|1.3K
10:15 AM - 29 Nov 2015|I'll go https twitter com musicstangames status 670758680875397120|125|133
3:20 PM - 28 Nov 2015|See chilling new anti-Donald Trump ad likens GOP hopeful Nazis http peoplem ag zm8tB3X pic twitter com UhORfYmG43|75|114
9:13 PM - 24 Nov 2015|Patti LaBelle president Because White House could use New Attitude pic twitter com DDoylOgl00|30|45
3:45 PM - 23 Nov 2015|When you're mood talk dad https vine co v izbWMXOPP02|926|1.7K
4:33 PM - 23 Nov 2015|@SHARON_NEEDLES yes shes mess https vine co v iz6lI1eAZPu|54|130
