2:09 PM - 12 Dec 2015|lets make america great pic twitter com LZEGd8FZ6K|6.6K|1.4K
12:03 PM - 11 Dec 2015|This pic twitter com rQ23bJX2Hu|138|151
6:47 AM - 12 Dec 2015|n g l e ASF|72|17
